classname , cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs , nonTrivialBugs , majorBugs , criticalBugs , highPriorityBugs ,bugsBoolean
org::eclipse::pde::internal::ui::editor::plugin::rows::ReferenceAttributeRow ,5,3,0,5,6,2,0,7,24,4,32,0,0,0,1,13,4,0,0,0,0,0,0
org::eclipse::pde::ui::launcher::JUnitTabGroup ,4,2,0,4,0,0,0,0,5,1,2,0,0,0,1,7,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::build::BuildSiteJob ,18,2,2,16,28,0,4,1,121,8,5,4,4,0,1,59,28,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::contentassist::XMLElementProposalComparator ,3,1,1,2,3,0,0,0,12,3,6,0,1,0,2,6,3,0,0,0,0,0,0
org::eclipse::pde::internal::core::RequiredPluginsInitializer ,0,1,0,0,3,0,0,0,14,3,0,0,0,0,3,7,5,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::ToggleLinkWithEditorAction ,3,1,1,2,1,0,1,0,15,2,0,0,0,1,2,8,3,0,0,0,0,0,0
org::eclipse::pde::internal::core::converter::PluginConverterParser ,7,1,1,6,325,0,19,34,376,26,30,16,1,3,24,191,100,1,0,0,0,0,1
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::details::SimpleCSCommandComboPart ,4,2,1,3,91,0,2,1,107,14,23,2,2,0,12,44,22,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::plugin::rows::ClassAttributeRow ,15,5,1,14,36,0,1,7,57,9,40,1,3,0,3,45,18,0,0,0,0,0,0
org::eclipse::pde::internal::ui::correction::OptionalImportPackageResolution ,4,3,1,3,6,0,1,5,19,4,14,1,0,0,3,10,6,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::feature::FeatureInputContextManager ,2,2,1,1,3,0,0,0,10,3,29,0,1,0,2,6,4,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::plugin::JavaAttributeWizardPage ,7,1,1,6,21,0,6,0,160,7,0,6,2,0,4,61,49,1,0,0,0,0,1
org::eclipse::pde::internal::ui::parts::MessageLine ,2,1,0,2,6,0,3,0,42,4,0,3,1,0,3,23,13,0,0,0,0,0,0
org::eclipse::pde::internal::ui::parts::StructuredViewerPart ,29,3,27,2,28,3,2,1,33,8,24,2,1,0,4,20,9,0,0,0,0,0,0
org::eclipse::pde::internal::ui::templates::ide::PopupMenuTemplate ,14,5,1,13,45,0,5,13,91,10,80,0,1,0,7,39,13,0,0,0,0,0,0
org::eclipse::pde::internal::core::util::SchemaUtil ,13,1,6,7,1,0,0,0,37,2,6,0,0,0,2,17,5,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::toc::details::TocAnchorDetails ,4,4,1,3,91,0,2,0,71,14,39,2,3,0,7,32,18,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::product::ArgumentsSection ,14,3,1,13,78,0,5,0,124,13,21,5,5,0,7,63,17,0,0,0,0,0,0
org::eclipse::pde::internal::ui::correction::ExternalizeResolution ,14,3,1,13,15,0,0,6,96,6,17,0,2,0,3,50,14,0,0,0,0,0,0
org::eclipse::pde::internal::ui::correction::CreateJREBundleHeaderResolution ,3,3,1,2,6,0,0,5,12,4,14,0,0,0,3,7,4,0,0,0,0,0,0
org::eclipse::pde::internal::ui::commands::CommandDetails ,8,1,6,8,210,0,17,0,292,21,6,17,13,0,5,124,43,0,0,0,0,0,0
org::eclipse::pde::internal::ui::correction::OrganizeRequireBundleResolution ,2,3,0,2,6,0,1,5,13,4,14,1,0,0,3,6,4,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::actions::FormatAction ,4,1,2,2,6,0,1,0,24,4,0,0,0,0,4,13,6,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::product::ProductDefinitionWizard ,5,1,1,4,10,0,5,0,33,5,0,5,0,0,5,19,6,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::actions::SimpleCSAddStepAction ,8,1,1,7,10,0,3,0,72,5,0,3,2,0,3,28,12,0,0,0,0,0,0
org::eclipse::pde::internal::ui::samples::ReviewPage ,2,1,1,2,6,0,2,0,46,4,0,2,1,0,3,23,7,0,0,0,0,0,0
org::eclipse::pde::internal::core::site::SiteDescription ,8,3,3,5,66,0,4,9,75,12,57,4,0,0,10,49,31,0,0,0,0,0,0
org::eclipse::pde::internal::ui::templates::ide::PropertyPageTemplate ,13,5,1,12,45,0,4,13,70,10,80,0,1,0,7,40,13,0,0,0,0,0,0
org::eclipse::pde::internal::runtime::spy::sections::ActiveDialogPageSection ,4,1,1,3,1,0,0,0,44,2,7,0,0,0,2,19,5,0,0,0,0,0,0
org::eclipse::pde::internal::core::NLResourceHelper ,21,1,14,7,10,0,3,0,68,5,6,1,1,0,4,26,16,1,0,1,0,0,1
org::eclipse::pde::internal::ui::editor::cheatsheet::comp::CompCSContentProvider ,3,2,1,2,10,0,0,0,27,5,9,0,0,0,5,12,9,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::PDEDetailsSections ,7,3,3,4,78,2,1,0,47,13,14,1,0,0,12,34,17,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::cheatsheet::simple::SimpleCSIntro ,3,6,1,2,45,0,1,158,30,10,497,1,0,0,10,17,10,0,0,0,0,0,0
org::eclipse::ui::internal::views::log::FilterDialog ,6,1,1,5,66,0,13,0,226,12,0,11,7,2,1,53,30,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::cheatsheet::comp::CompCSBlock ,6,2,1,5,28,0,4,0,61,8,8,4,0,0,6,17,13,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::plugin::PluginBaseNode ,10,4,1,9,253,2,2,19,222,23,192,2,1,0,21,145,63,0,0,0,0,0,0
org::eclipse::pde::internal::ui::search::dialogs::FilteredPluginArtifactsSelectionDialog ,19,1,2,17,91,0,16,0,147,14,0,16,1,0,3,68,30,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::DocumentTextNode ,6,2,5,1,66,1,6,7,45,12,27,5,0,0,12,15,13,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::XMLSourcePage ,4,3,0,4,3,7,0,0,20,3,67,0,0,0,2,12,4,1,0,0,0,0,1
org::eclipse::pde::internal::ui::search::dependencies::UnusedDependenciesJob ,5,1,1,4,6,0,2,0,28,4,0,2,1,0,1,15,4,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::text::TranslationHyperlink ,11,2,4,7,10,0,2,1,73,5,10,2,1,0,4,25,22,0,0,0,0,0,0
org::eclipse::pde::internal::ui::PDEPerspective ,0,1,0,0,21,0,1,0,58,7,6,1,5,0,2,17,7,1,0,0,0,0,1
org::eclipse::pde::internal::ui::editor::text::MultilineDamagerRepairer ,1,1,1,0,3,0,0,0,9,3,0,0,0,0,3,3,3,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::PDEDetails ,18,2,18,0,28,7,0,0,28,8,6,0,0,0,6,12,8,0,0,0,0,0,0
org::eclipse::pde::internal::ui::views::plugins::PluginsLabelProvider ,8,1,1,7,15,0,3,0,29,6,0,3,4,0,2,25,7,0,0,0,0,0,0
org::eclipse::pde::internal::ui::refactoring::BuildPropertiesChange ,11,1,2,9,1,0,0,0,59,2,6,0,1,0,1,27,10,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::DocumentAttributeNode ,4,2,3,1,190,0,8,6,97,20,35,8,0,0,20,25,20,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::WizardCollectionElement ,8,4,4,4,45,0,4,1,54,10,25,3,0,1,10,26,16,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::ctxhelp::RegisterCtxHelpOperation ,28,1,1,27,55,0,8,0,207,11,0,4,9,0,1,92,42,0,0,0,0,0,0
org::eclipse::pde::internal::ui::preferences::PDECompilersConfigurationBlock ,12,1,4,8,351,0,39,0,461,27,6,39,15,0,9,187,98,0,0,0,0,0,0
org::eclipse::pde::internal::core::EclipseHomeInitializer ,2,1,1,1,1,0,1,0,11,2,0,0,0,0,2,6,2,1,0,0,0,0,1
org::eclipse::pde::internal::ui::wizards::plugin::TemplateListSelectionPage ,10,3,1,9,66,0,3,2,89,12,19,3,1,0,9,44,24,2,1,0,0,0,1
org::eclipse::pde::internal::runtime::registry::PluginObjectAdapter ,12,1,12,0,1,1,1,0,6,2,0,1,0,0,2,2,2,0,0,0,0,0,0
org::eclipse::pde::internal::core::site::SiteCategoryDefinition ,11,3,2,9,45,0,3,8,62,10,55,3,0,0,8,43,20,0,0,0,0,0,0
org::eclipse::pde::internal::ui::launcher::OpenLogDialog ,10,1,0,10,105,0,6,0,156,15,0,6,9,0,2,69,29,0,0,0,0,0,0
org::eclipse::pde::internal::core::product::AboutInfo ,7,3,1,6,36,0,3,2,58,9,34,3,2,0,7,42,23,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::tools::OrganizeManifest ,48,1,4,44,171,0,2,14,372,19,6,2,10,0,8,170,129,0,0,0,0,0,0
org::eclipse::pde::internal::core::ExternalJavaSearchInitializer ,1,1,0,1,0,0,1,0,8,1,0,0,0,1,1,3,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::schema::SchemaEditorContributor ,3,3,1,2,10,0,1,3,19,5,33,1,0,0,3,11,5,0,0,0,0,0,0
org::eclipse::pde::internal::core::PDEAuxiliaryState ,23,1,1,22,153,0,16,0,230,18,6,15,1,0,11,156,71,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::plugin::BundleHyperlinkDetector ,14,1,1,13,6,0,1,0,105,4,6,1,2,0,2,56,44,0,0,0,0,0,0
org::eclipse::pde::internal::core::SourceLocationManager ,20,1,6,15,210,0,2,86,210,21,6,2,10,0,11,145,64,2,0,0,0,0,1
org::eclipse::pde::internal::ui::views::dependencies::HistoryListAction ,4,1,1,3,1,0,1,0,20,2,0,1,0,0,2,13,4,0,0,0,0,0,0
org::eclipse::pde::internal::ui::util::SWTUtil ,51,1,49,2,10,0,0,0,44,5,6,0,0,0,5,20,14,0,0,0,0,0,0
org::eclipse::ui::internal::views::log::EventDetailsDialogAction ,2,1,1,1,10,0,5,0,41,5,0,5,0,0,5,19,17,0,0,0,0,0,0
org::eclipse::pde::internal::core::FeatureModelManager ,44,1,29,15,120,0,7,0,278,16,6,7,4,0,12,118,63,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::provisioner::ProvisionerListSelectionPage ,4,1,1,3,15,0,3,0,88,6,0,3,0,0,2,24,11,1,0,0,0,0,1
org::eclipse::pde::internal::ui::wizards::plugin::AbstractFieldData ,10,1,10,0,378,2,14,0,84,28,16,14,0,0,28,28,28,0,0,0,0,0,0
org::eclipse::pde::internal::ui::templates::osgi::HelloOSGiNewWizard ,2,6,0,2,3,0,0,0,10,3,20,0,0,0,3,6,3,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::plugin::ExtensionDetails ,18,4,1,17,171,0,5,0,210,19,16,5,6,0,13,88,41,0,0,0,0,0,0
org::eclipse::pde::internal::ui::correction::AddBundleClassPathMarkerResolution ,1,3,0,1,3,0,1,5,17,3,14,1,0,0,2,9,5,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::build::Build ,16,2,6,11,36,0,2,0,98,9,11,2,0,0,9,60,26,0,0,0,0,0,0
org::eclipse::pde::internal::ui::search::dependencies::AddNewBinaryDependenciesOperation ,4,2,0,4,1,0,1,2,31,2,14,0,0,0,1,17,9,0,0,0,0,0,0
org::eclipse::pde::internal::ui::correction::AddSourceBuildEntryResolution ,6,3,1,5,6,0,0,7,43,4,14,0,1,0,2,21,11,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::product::ProductOutlinePage ,5,3,1,4,6,0,0,4,22,4,21,0,0,0,2,10,8,0,0,0,0,0,0
org::eclipse::pde::internal::ui::views::plugins::CopyToClipboardAction ,4,1,1,3,10,0,2,0,45,5,0,1,2,1,2,28,13,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::build::AddLibraryDialog ,2,1,0,2,55,0,8,0,82,11,0,8,2,0,5,27,12,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::NullUndoManager ,0,1,0,0,36,0,0,0,24,9,15,0,0,0,9,11,11,1,0,0,0,0,1
org::eclipse::pde::internal::ui::launcher::JREBlock ,8,1,3,5,171,0,11,0,255,19,6,11,9,0,6,85,44,0,0,0,0,0,0
org::eclipse::pde::internal::ui::templates::ide::MultiPageEditorTemplate ,14,6,1,13,66,0,0,13,100,12,82,0,2,0,8,46,20,0,0,0,0,0,0
org::eclipse::pde::internal::core::PDEExtensionRegistry ,39,1,24,18,171,0,7,0,187,19,6,7,4,0,13,122,61,0,0,0,0,0,0
org::eclipse::pde::internal::runtime::PDERuntimeMessages ,0,1,0,0,0,0,56,0,0,0,0,1,0,55,0,0,0,2,0,1,0,0,1
org::eclipse::pde::internal::core::text::ctxhelp::CtxHelpDescription ,5,5,3,2,36,0,1,30,27,9,253,1,0,0,8,12,10,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::text::AnnotationHover ,5,1,2,3,6,0,0,0,48,4,6,0,2,0,2,24,14,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::build::BuildEntry ,21,2,11,10,190,0,6,7,156,20,23,6,1,0,19,82,37,0,0,0,0,0,0
org::eclipse::pde::internal::ui::tests::macro::DefaultWidgetResolver ,4,1,0,4,0,0,0,0,30,1,7,0,0,0,1,15,14,0,0,0,0,0,0
org::eclipse::pde::internal::ui::search::dependencies::UnusedImportsDialog ,6,1,1,5,10,0,4,0,41,5,0,4,0,0,1,19,5,0,0,0,0,0,0
org::eclipse::pde::internal::core::target::WorkspaceTargetModel ,8,5,2,6,66,0,4,1,83,12,78,4,0,0,12,41,17,2,0,1,0,0,1
org::eclipse::pde::internal::ui::launcher::LaunchConfigurationListener ,4,1,1,3,6,0,0,0,17,4,6,0,0,0,4,10,6,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::validation::AbstractControlValidator ,6,1,4,2,136,1,7,0,99,17,19,6,0,0,15,32,26,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::build::BuildEditorContributor ,0,3,0,0,6,0,0,3,12,4,33,0,0,0,3,4,4,0,0,0,0,0,0
org::eclipse::pde::internal::ui::preferences::SourceCodeLocationsPreferenceNode ,0,2,0,0,1,0,0,1,3,2,18,0,0,0,1,2,1,1,0,0,0,0,1
org::eclipse::pde::internal::ui::editor::plugin::ExtensionElementDetails ,19,4,1,18,153,0,4,0,199,18,16,4,6,0,12,110,52,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::plugin::ExecutionEnvironmentSection ,27,5,1,26,595,0,3,2,501,35,72,3,16,0,10,207,113,0,0,0,0,0,0
org::eclipse::pde::internal::ui::samples::ProjectNamesPage ,3,1,1,3,21,0,2,0,115,7,0,2,3,0,4,39,22,0,0,0,0,0,0
org::eclipse::pde::internal::ui::search::PluginSearchQuery ,8,1,4,4,15,0,2,0,33,6,6,2,0,0,6,13,8,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::target::TargetOutlinePage ,9,3,1,8,6,0,2,4,50,4,21,2,0,0,3,21,17,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::tools::UpdateBuildpathWizard ,5,1,1,4,6,0,4,0,33,4,0,4,1,0,3,17,6,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::WizardTreeSelectionPage ,9,2,1,8,36,1,4,0,123,9,6,3,2,0,5,43,14,0,0,0,0,0,0
org::eclipse::pde::internal::ui::correction::ResolutionGenerator ,31,1,1,30,15,0,1,0,118,6,6,1,4,0,2,69,47,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::SimpleCSEditorContributor ,6,3,2,4,10,0,1,3,27,5,33,1,0,0,4,15,5,0,0,0,0,0,0
org::eclipse::pde::internal::ui::correction::RenameProvidePackageResolution ,2,3,1,1,6,0,0,5,12,4,14,0,0,0,3,6,4,0,0,0,0,0,0
org::eclipse::pde::internal::core::feature::FeatureURL ,10,3,2,8,28,0,3,6,78,8,56,3,0,0,7,45,22,0,0,0,0,0,0
org::eclipse::pde::internal::ui::search::OpenPluginSearchPageAction ,1,1,0,1,10,0,2,0,21,5,6,2,0,0,4,10,9,0,0,0,0,0,0
org::eclipse::pde::internal::core::site::AbstractSiteModel ,9,4,4,5,55,2,4,1,64,11,65,3,1,0,10,32,19,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::contentassist::VirtualSchemaObject ,6,2,2,4,55,0,3,2,58,11,12,3,1,0,10,22,16,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::plugin::ResourceAttributeValue ,1,1,1,0,6,1,2,0,13,4,6,2,0,0,4,5,4,0,0,0,0,0,0
org::eclipse::pde::ui::templates::ComboChoiceOption ,6,4,1,5,15,0,2,1,69,6,34,2,0,0,2,23,16,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::extension::NewExtensionPointMainPage ,10,2,1,9,28,0,2,12,79,8,14,2,0,0,4,36,21,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::feature::FeatureIncludesPage ,5,2,1,4,3,0,4,0,45,3,28,3,0,0,1,16,3,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::toc::details::HelpEditorFilter ,4,1,3,1,1,0,0,0,25,2,0,0,0,0,2,7,7,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::tools::ConvertProjectsAction ,4,1,0,4,10,0,1,0,58,5,6,1,1,0,4,32,13,0,0,0,0,0,0
org::eclipse::pde::internal::ui::elements::ListContentProvider ,3,2,2,1,1,1,0,0,9,2,9,0,0,0,2,3,3,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::plugin::PluginNode ,2,5,0,2,10,0,1,28,15,5,247,1,0,0,4,10,6,0,0,0,0,0,0
org::eclipse::pde::internal::ui::parts::FormBrowser ,2,1,2,0,6,0,5,0,44,4,6,0,0,5,4,10,7,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::target::TargetDefinitionFromPlatformOperation ,17,2,1,16,36,0,0,0,103,9,4,0,0,0,1,74,22,1,0,0,0,0,1
org::eclipse::pde::internal::ui::editor::text::PDEQuickAssistAssistant ,4,1,3,1,1,0,3,0,16,2,0,3,0,0,2,6,2,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::SimpleCSInputContext ,8,4,1,7,15,0,1,3,60,6,51,0,0,0,3,30,11,0,0,0,0,0,0
org::eclipse::pde::internal::ui::correction::ExternalizeStringsResolution ,3,2,1,2,10,0,0,5,22,5,12,0,0,0,4,8,5,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::cheatsheet::simple::SimpleCSAction ,4,7,1,3,66,0,2,158,59,12,523,2,0,0,12,30,18,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::toc::NewTocFileWizard ,4,2,1,3,21,0,2,1,34,7,4,2,1,0,5,19,7,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::plugin::ImportPackageSection ,41,5,2,40,561,0,9,2,564,34,73,9,21,0,5,289,148,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::toc::TocFileValidator ,3,1,1,2,6,0,1,0,34,4,6,0,2,1,2,17,8,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::provisioner::update::UpdateSiteProvisionerPage ,5,1,1,4,28,0,5,0,136,8,0,5,0,0,2,44,14,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::toc::TocDropAdapter ,5,1,1,5,66,0,2,0,114,12,0,1,2,0,9,35,30,0,0,0,0,0,0
org::eclipse::pde::internal::ui::templates::ide::DecoratorTemplate ,17,5,0,17,136,0,9,13,177,17,80,5,2,0,10,81,32,0,0,0,0,0,0
org::eclipse::pde::internal::runtime::OverlayIcon ,0,1,0,0,21,0,5,0,80,7,0,3,0,0,1,21,29,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::bundle::RequireBundleObject ,14,3,7,7,36,0,1,4,91,9,44,1,0,0,9,57,24,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::target::LocationsSection ,21,5,1,20,210,0,1,2,208,21,72,1,5,0,5,118,47,0,0,0,0,0,0
org::eclipse::pde::internal::ui::search::dependencies::CalculateUsesAction ,2,1,1,1,6,0,2,0,41,4,0,2,0,0,2,8,5,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::target::TargetDefinitionSection ,15,3,1,14,120,0,7,0,191,16,21,7,7,0,7,89,24,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::cheatsheet::comp::CompCSInputContext ,9,3,1,8,15,0,1,1,53,6,41,0,0,0,2,26,11,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::toc::TocTreeSection ,37,5,6,34,1225,0,19,2,828,50,70,19,28,0,14,341,178,0,0,0,0,0,0
org::eclipse::pde::internal::ui::refactoring::RefactoringPluginInfo ,5,2,3,2,10,0,1,1,19,5,15,1,0,0,5,10,7,0,0,0,0,0,0
org::eclipse::pde::internal::core::util::IdUtil ,25,1,17,8,28,0,0,0,85,8,6,0,0,0,8,45,57,3,0,2,0,0,1
org::eclipse::pde::internal::ui::editor::feature::PluginDetailsSection ,12,3,0,12,91,0,7,0,173,14,21,6,2,0,11,68,26,0,0,0,0,0,0
org::eclipse::pde::internal::ui::tests::macro::ToggleStructuredCommand ,5,3,2,3,10,2,1,1,19,5,30,0,0,0,3,9,7,0,0,0,0,0,0
org::eclipse::pde::internal::core::target::LocationInfo ,4,3,1,3,21,0,3,1,36,7,34,3,0,0,7,20,12,0,0,0,0,0,0
org::eclipse::pde::internal::ui::nls::ExternalizeStringsWizard ,2,1,1,1,1,0,2,0,12,2,0,2,0,0,1,5,2,0,0,0,0,0,0
org::eclipse::pde::internal::ui::templates::osgi::OSGiSimpleLogServiceNewWizard ,2,6,0,2,3,0,0,0,12,3,20,0,0,0,3,6,3,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::cheatsheet::simple::SimpleCSItem ,3,6,1,2,465,0,1,206,97,31,602,1,0,0,31,62,31,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::details::SimpleCSSubItemDetails ,9,4,1,8,28,0,5,0,123,8,32,5,0,0,8,42,12,0,0,0,0,0,0
org::eclipse::pde::internal::core::builders::BuildErrorReporter ,31,2,1,30,136,0,4,3,441,17,13,4,15,0,2,214,131,0,0,0,0,0,0
org::eclipse::pde::internal::core::schema::SchemaAttribute ,21,3,9,12,190,0,15,21,180,20,35,9,0,0,20,101,57,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::site::NewSiteProjectCreationOperation ,11,1,2,9,28,0,4,0,390,8,0,4,6,0,1,53,16,0,0,0,0,0,0
org::eclipse::pde::ui::launcher::OSGiLaunchConfigurationDelegate ,2,1,0,2,0,0,0,0,15,1,0,0,0,0,1,10,3,1,0,0,0,0,1
org::eclipse::pde::internal::core::cheatsheet::comp::CompCSModel ,10,4,3,7,36,1,3,1,62,9,62,3,1,0,7,30,14,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::cheatsheet::simple::SimpleCSPerformWhen ,3,6,1,2,36,0,1,110,29,9,412,1,0,0,9,17,9,0,0,0,0,0,0
org::eclipse::pde::internal::core::AbstractModelManager ,8,1,7,1,10,2,1,0,21,5,6,1,0,0,4,11,7,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::schema::SchemaInputContextManager ,2,2,1,1,3,0,0,0,10,3,29,0,1,0,2,6,4,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::schema::SchemaSpecSection ,8,3,1,7,36,0,3,0,79,9,21,3,0,0,9,44,11,0,0,0,0,0,0
org::eclipse::pde::internal::core::builders::XMLErrorReporter ,25,1,10,15,406,2,16,0,260,29,30,11,9,0,17,136,66,0,0,0,0,0,0
org::eclipse::pde::internal::core::product::ProductModelFactory ,12,1,1,11,66,0,1,0,36,12,17,1,0,0,12,23,12,1,0,0,0,0,1
org::eclipse::pde::internal::ui::editor::actions::PDEActionConstants ,0,1,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::plugin::NewElementAction ,9,1,1,8,3,0,3,0,27,3,0,2,1,0,2,17,5,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::schema::SchemaSourcePage ,6,4,1,5,45,0,0,0,39,10,70,0,0,0,7,19,10,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::text::PDEWordFinder ,3,1,2,1,1,0,0,0,45,2,6,0,0,0,2,10,11,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::ctxhelp::CtxHelpEditor ,16,3,0,16,300,0,0,1,186,25,72,0,5,0,11,82,49,0,0,0,0,0,0
org::eclipse::pde::internal::ui::nls::ExternalizeStringsLabelProvider ,3,1,1,2,6,0,1,0,26,4,0,1,0,0,4,11,9,0,0,0,0,0,0
org::eclipse::pde::internal::ui::util::OverlayIcon ,0,2,0,0,1,0,1,2,9,2,8,1,0,0,1,4,3,0,0,0,0,0,0
org::eclipse::pde::internal::ui::parts::StatusInfo ,0,1,0,0,136,0,2,0,59,17,6,2,0,0,17,20,17,0,0,0,0,0,0
org::eclipse::pde::internal::core::RequiredPluginsClasspathContainer ,18,2,1,17,190,0,4,0,343,20,12,4,12,0,5,199,108,0,0,0,0,0,0
org::eclipse::pde::internal::ui::tests::macro::WindowCommandTarget ,3,2,2,1,3,1,0,0,10,3,11,0,0,0,2,6,3,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::feature::URLDetailsSection ,13,3,1,12,153,0,3,0,176,18,21,3,7,0,11,84,45,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::context::XMLInputContext ,14,3,1,13,253,7,2,1,440,23,41,0,13,0,1,245,102,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::feature::CreateFeatureProjectOperation ,10,2,3,7,1,1,1,3,16,2,7,0,0,0,1,11,4,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::SimpleCSBlock ,7,2,1,6,28,0,5,0,67,8,8,5,0,0,6,18,14,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::plugin::ExtensionAttributePointDectector ,10,1,1,9,66,0,3,0,123,12,6,3,4,0,8,39,32,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::bundle::ExecutionEnvironment ,4,3,3,1,3,0,1,4,9,3,44,1,0,0,3,5,3,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::contentassist::TypeCompletionProposal ,4,1,2,2,66,0,7,0,68,12,6,1,0,0,12,22,14,0,0,0,0,0,0
org::eclipse::pde::internal::ui::correction::RemoveImportPackageResolution ,3,3,1,2,6,0,1,5,16,4,14,1,0,0,3,9,5,0,0,0,0,0,0
org::eclipse::pde::internal::ui::util::TemplateFileGenerator ,17,1,1,16,120,0,11,0,387,16,7,6,7,0,5,187,107,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::product::TextEditUtilities ,5,1,0,5,21,0,0,0,82,7,6,0,5,0,2,59,20,0,0,0,0,0,0
org::eclipse::pde::internal::ui::commands::CommandCopyFilter ,1,1,1,0,36,0,5,0,25,9,6,1,1,0,6,19,8,0,0,0,0,0,0
org::eclipse::pde::internal::ui::correction::UnsupportedSingletonDirectiveResolution ,3,3,1,2,6,0,0,5,19,4,14,0,0,0,3,7,6,0,0,0,0,0,0
